TxnID,Date,Description,Internal reference,External reference,Currency,Amount,Balance after transaction,Match,Booking,Synced to Dooer date
"1530","2018-11-03","Kostnadsränta",,,"SEK","-85","-7781","","A764,A933","2018-11-05 13:14:34"
"1521","2018-10-16","Inbetalning bokförd 181015",,,"SEK","1957","-7696","","","2018-10-30 08:55:40"
"1520","2018-10-12","Avdragen skatt sept 2018",,,"SEK","-386","-9653","","A719,A932","2018-10-30 08:55:40"
"1519","2018-10-12","Arbetsgivaravgift sept 2018",,,"SEK","-1571","-9267","","A718,A931","2018-10-30 08:55:40"
"1518","2018-10-12","Debiterad preliminärskatt",,,"SEK","-4942","-7696","","A717,A930","2018-10-30 08:55:40"
"1517","2018-10-06","Kostnadsränta",,,"SEK","-30","-2754","","A720,A929","2018-10-30 08:55:40"
"1516","2018-09-12","Debiterad preliminärskatt",,,"SEK","-4942","-2724","","A721,A928","2018-10-30 08:55:40"
"1515","2018-09-01","Korrigerad kostnadsränta",,,"SEK","-1","2218","","A722,A927","2018-10-30 08:55:40"
"1514","2018-08-21","Utbetalning",,,"SEK","-2461","2219","","","2018-10-30 08:55:40"
"1513","2018-08-17","Debiterad preliminärskatt",,,"SEK","-4942","4680","","A760,A926","2018-10-30 08:55:40"
"1512","2018-08-13","Beslut 180629 moms jan 2018 - mars 2018",,,"SEK","-1264","9622","","A761,A925","2018-10-30 08:55:40"
"1511","2018-08-10","Moms april 2018 - juni 2018",,,"SEK","2461","10886","","A762,A924","2018-10-30 08:55:40"
"1510","2018-08-04","Korrigerad kostnadsränta",,,"SEK","-110","8425","","A763,A923","2018-10-30 08:55:40"
"1509","2018-07-26","Beslut 180618 moms okt 2017 - dec 2017",,,"SEK","-28902","8535","","","2018-10-30 08:55:40"
"1508","2018-07-12","Debiterad preliminärskatt",,,"SEK","-4942","37437","","","2018-10-30 08:55:40"
"1507","2018-06-28","Inbetalning bokförd 180627",,,"SEK","1265","42379","","","2018-10-30 08:55:40"
"1506","2018-06-13","Inbetalning bokförd 180612",,,"SEK","2421","41114","","","2018-10-30 08:55:40"
"1505","2018-06-12","Avdragen skatt maj 2018",,,"SEK","-536","38693","","","2018-10-30 08:55:40"
"1504","2018-06-12","Arbetsgivaravgift maj 2018",,,"SEK","-1885","39229","","","2018-10-30 08:55:40"
"1503","2018-06-12","Debiterad preliminärskatt",,,"SEK","-4942","41114","","","2018-10-30 08:55:40"
"1502","2018-06-09","Inbetalning bokförd 180608",,,"SEK","17410","46056","","","2018-10-30 08:55:40"
"1501","2018-06-06","Inbetalning bokförd 180605",,,"SEK","28902","28646","","","2018-10-30 08:55:40"
"1500","2018-06-02","Kostnadsränta",,,"SEK","-2","-256","","","2018-10-30 08:55:40"
"1499","2018-05-14","Avdragen skatt april 2018",,,"SEK","-386","-254","","","2018-10-30 08:55:40"
"1498","2018-05-14","Arbetsgivaravgift april 2018",,,"SEK","-1571","132","","","2018-10-30 08:55:40"
"1497","2018-05-14","Debiterad preliminärskatt",,,"SEK","-4942","1703","","","2018-10-30 08:55:40"
"1496","2018-05-12","Inbetalning bokförd 180511",,,"SEK","1957","6645","","","2018-10-30 08:55:40"
"1495","2018-05-12","Moms jan 2018 - mars 2018",,,"SEK","4717","4688","","","2018-10-30 08:55:40"
"1494","2018-05-05","Kostnadsränta",,,"SEK","-29","-29","","","2018-10-30 08:55:40"
"1493","2018-04-14","Inbetalning bokförd 180413",,,"SEK","9928","0","","","2018-10-30 08:55:40"
"1492","2018-04-13","Inbetalning bokförd 180412",,,"SEK","3453","-9928","","","2018-10-30 08:55:40"
"1491","2018-04-12","Avdragen skatt mars 2018",,,"SEK","-940","-13381","","","2018-10-30 08:55:40"
"1490","2018-04-12","Arbetsgivaravgift mars 2018",,,"SEK","-2513","-12441","","","2018-10-30 08:55:40"
"1489","2018-04-12","Debiterad preliminärskatt",,,"SEK","-4942","-9928","","","2018-10-30 08:55:40"
"1488","2018-04-01","Kostnadsränta",,,"SEK","-44","-4986","","","2018-10-30 08:55:40"
"1487","2018-03-13","Inbetalning bokförd 180312",,,"SEK","2421","-4942","","","2018-10-30 08:55:40"
"1486","2018-03-12","Avdragen skatt febr 2018",,,"SEK","-536","-7363","","","2018-10-30 08:55:40"
"1485","2018-03-12","Arbetsgivaravgift febr 2018",,,"SEK","-1885","-6827","","","2018-10-30 08:55:40"
"1484","2018-03-12","Debiterad preliminärskatt",,,"SEK","-4942","-4942","","","2018-10-30 08:55:40"
"1483","2018-02-16","Utbetalning",,,"SEK","-9445","0","","","2018-10-30 08:55:40"
"1482","2018-02-15","Inbetalning bokförd 180214",,,"SEK","5577","9445","","","2018-10-30 08:55:40"
"1481","2018-02-14","Moms okt 2017 - dec 2017",,,"SEK","14387","3868","","","2018-10-30 08:55:40"
"1480","2018-02-14","Avdragen skatt jan 2018",,,"SEK","-1807","-10519","","","2018-10-30 08:55:40"
"1479","2018-02-14","Arbetsgivaravgift jan 2018",,,"SEK","-3770","-8712","","","2018-10-30 08:55:40"
"1478","2018-02-12","Debiterad preliminärskatt",,,"SEK","-4942","-4942","","","2018-10-30 08:55:40"
"1477","2018-01-18","Inbetalning bokförd 180117",,,"SEK","9488","0","","","2018-10-30 08:55:40"
"1476","2018-01-17","Inbetalning bokförd 180116",,,"SEK","4942","-9488","","","2018-10-30 08:55:40"
"1475","2018-01-17","Avdragen skatt dec 2017",,,"SEK","-3634","-14430","","","2018-10-30 08:55:40"
"1474","2018-01-17","Arbetsgivaravgift dec 2017",,,"SEK","-5854","-10796","","","2018-10-30 08:55:40"
"1473","2018-01-17","Debiterad preliminärskatt",,,"SEK","-4942","-4942","","","2018-10-30 08:55:40"
"1472","2017-12-13","Inbetalning bokförd 171212",,,"SEK","4942","0","","","2018-10-30 08:55:40"
"1471","2017-12-13","Inbetalning bokförd 171212",,,"SEK","4498","-4942","","","2018-10-30 08:55:40"
"1470","2017-12-12","Avdragen skatt nov 2017",,,"SEK","-1356","-9440","","","2018-10-30 08:55:40"
