TxnID,Date,Description,Internal reference,External reference,Currency,Amount,Balance after transaction,Match,Booking,Synced to Dooer date
"1614","2019-01-22","Moms nov 2018",,,"SEK","-3396","-5577","","A2","2019-01-29 10:53:55"
"1613","2019-01-17","Debiterad preliminärskatt",,,"SEK","-2181","-2181","","A3","2019-01-29 10:53:55"
"1612","2019-01-05","Överlämnat till KFM",,,"SEK","18668","0","","A18","2019-01-29 10:53:55"
"1611","2019-01-05","Korrigerad intäktsränta",,,"SEK","13","-18668","","A6","2019-01-29 10:53:55"
"1610","2019-01-05","Kostnadsränta",,,"SEK","-331","-18681","","A5","2019-01-29 10:53:55"
"1609","2019-01-05","Korrigerad kostnadsränta",,,"SEK","1116","-18350","","A4","2019-01-29 10:53:55"
"1608","2018-12-19","Beslut 181219 moms jan 2017 - dec 2017",,,"SEK","6429","-19466","","A1007","2019-01-29 10:53:55"
"1607","2018-12-19","Beslut 181219 moms jan 2017 - dec 2017",,,"SEK","18613","-25895","","A1006","2019-01-29 10:53:55"
"1606","2018-12-18","Moms okt 2018",,,"SEK","11442","-44508","","A1008","2019-01-29 10:53:55"
"1605","2018-12-12","Debiterad preliminärskatt",,,"SEK","-2181","-55950","","A1009","2019-01-29 10:53:55"
"1604","2018-12-07","Inbetalt till KFM",,,"SEK","4330","0","","","2019-01-29 10:53:55"
"1603","2018-12-01","Kostnadsränta",,,"SEK","-477","-53769","","A852","2018-12-04 16:37:57"
"1602","2018-11-23","Moms juli 2018 - sept 2018",,,"SEK","-33991","-53292","","A855","2018-12-04 16:37:57"
"1601","2018-11-23","Avdragen skatt okt 2018",,,"SEK","-4067","-19301","","A854","2018-12-04 16:37:57"
"1600","2018-11-23","Arbetsgivaravgift okt 2018",,,"SEK","-6409","-15234","","A853","2018-12-04 16:37:57"
"1599","2018-11-12","Debiterad preliminärskatt",,,"SEK","-2181","-8825","","A856","2018-12-04 16:37:57"
"1598","2018-11-03","Kostnadsränta",,,"SEK","-452","-6644","","A857","2018-12-04 16:37:57"
"1597","2018-10-31","Inbetalning bokförd 181030",,,"SEK","47502","-6192","","","2018-12-04 16:37:57"
"1596","2018-10-12","Avdragen skatt sept 2018",,,"SEK","-19727","-53694","","A860","2018-12-04 16:37:57"
"1595","2018-10-12","Arbetsgivaravgift sept 2018",,,"SEK","-27775","-33967","","A859","2018-12-04 16:37:57"
"1594","2018-10-12","Debiterad preliminärskatt",,,"SEK","-2181","-6192","","A858","2018-12-04 16:37:57"
"1593","2018-10-06","Överlämnat till KFM",,,"SEK","115938","-4011","","A935","2018-12-04 16:37:57"
"1592","2018-10-06","Kostnadsränta",,,"SEK","-1830","-119949","","A861","2018-12-04 16:37:57"
"1591","2018-09-12","Debiterad preliminärskatt",,,"SEK","-2181","-118119","","A875","2018-12-04 16:37:57"
"1590","2018-09-01","Kostnadsränta",,,"SEK","-775","-115938","","A874","2018-12-04 16:37:57"
"1589","2018-08-21","Inbetalning bokförd 180820",,,"SEK","2181","-115163","","","2018-12-04 16:37:57"
"1588","2018-08-20","Moms april 2018 - juni 2018",,,"SEK","-115163","-117344","","A873","2018-12-04 16:37:57"
"1587","2018-08-17","Avdragen skatt juli 2018",,,"SEK","-23703","-2181","","A872","2018-12-04 16:37:57"
"1586","2018-08-17","Arbetsgivaravgift juli 2018",,,"SEK","-31545","21522","","A871","2018-12-04 16:37:57"
"1585","2018-08-17","Debiterad preliminärskatt",,,"SEK","-2181","53067","","A870","2018-12-04 16:37:57"
"1584","2018-08-11","Inbetalning bokförd 180810",,,"SEK","55248","55248","","","2018-12-04 16:37:57"
"1583","2018-08-08","Inbetalning bokförd 180807",,,"SEK","2204","0","","","2018-12-04 16:37:57"
"1582","2018-08-04","Kostnadsränta",,,"SEK","-23","-2204","","A869","2018-12-04 16:37:57"
"1581","2018-07-13","Inbetalning bokförd 180712",,,"SEK","92274","-2181","","","2018-12-04 16:37:57"
"1580","2018-07-12","Avdragen skatt juni 2018",,,"SEK","-39363","-94455","","A868","2018-12-04 16:37:57"
"1579","2018-07-12","Arbetsgivaravgift juni 2018",,,"SEK","-52911","-55092","","A867","2018-12-04 16:37:57"
"1578","2018-07-12","Debiterad preliminärskatt",,,"SEK","-2181","-2181","","A866","2018-12-04 16:37:57"
"1577","2018-06-13","Inbetalning bokförd 180612",,,"SEK","6510","0","","","2018-12-04 16:37:57"
"1576","2018-06-12","Avdragen skatt maj 2018",,,"SEK","-2237","-6510","","A865","2018-12-04 16:37:57"
"1575","2018-06-12","Arbetsgivaravgift maj 2018",,,"SEK","-4273","-4273","","A864","2018-12-04 16:37:57"
"1574","2018-06-12","Debiterad preliminärskatt",,,"SEK","-2181","0","","A863","2018-12-04 16:37:57"
"1573","2018-06-02","Kostnadsränta",,,"SEK","-1","2181","","A862","2018-12-04 16:37:57"
"1144","2018-05-28","Förs.avgift moms/arbetsgivardeklaration 180312",,,"SEK","-625","2182","","A331","2018-05-31 09:28:35"
"1143","2018-05-25","Utbetalning",,,"SEK","-19470","2807","","A382","2018-05-31 09:28:35"
"1142","2018-05-18","Inbetalning bokförd 180517",,,"SEK","1750","22277","","","2018-05-31 09:28:35"
"1141","2018-05-17","Inbetalning bokförd 180516",,,"SEK","22223","20527","","","2018-05-31 09:28:35"
"1140","2018-05-16","Moms jan 2018 - mars 2018",,,"SEK","-22223","-1696","","A325","2018-05-31 09:28:34"
"1139","2018-05-14","Avdragen skatt april 2018",,,"SEK","-19885","20527","","A328","2018-05-31 09:28:34"
"1138","2018-05-14","Arbetsgivaravgift april 2018",,,"SEK","-27523","40412","","A327","2018-05-31 09:28:34"
"1137","2018-05-14","Debiterad preliminärskatt",,,"SEK","-2181","67935","","A326","2018-05-31 09:28:34"
"1136","2018-05-12","Inbetalning bokförd 180511",,,"SEK","47408","70116","","","2018-05-31 09:28:34"
"1058","2018-04-16","Avdragen skatt mars 2018",,,"SEK","-19885","22708","","A248","2018-05-04 15:56:34"
"1057","2018-04-16","Arbetsgivaravgift mars 2018",,,"SEK","-27523","42593","","A247","2018-05-04 15:56:34"
"1056","2018-04-13","Inbetalning bokförd 180412",,,"SEK","47408","70116","","","2018-05-04 15:56:34"
"1055","2018-04-12","Debiterad preliminärskatt",,,"SEK","-2181","22708","","A249","2018-05-04 15:56:34"
"1054","2018-04-01","Kostnadsränta",,,"SEK","-30","24889","","A251","2018-05-04 15:56:34"
"1053","2018-04-01","Korrigerad kostnadsränta",,,"SEK","-230","24919","","A250","2018-05-04 15:56:34"
"962","2018-03-17","Avdragen skatt febr 2018",,,"SEK","-21728","25149","","A175","2018-03-24 11:25:43"
"961","2018-03-17","Arbetsgivaravgift febr 2018",,,"SEK","-27523","46877","","A174","2018-03-24 11:25:43"
"960","2018-03-14","Inbetalning bokförd 180313",,,"SEK","49251","74400","","","2018-03-24 11:25:43"
"959","2018-03-14","Inbetalning bokförd 180313",,,"SEK","27000","25149","","","2018-03-24 11:25:43"
"958","2018-03-13","Inbetalning bokförd 180312",,,"SEK","24037","-1851","","","2018-03-24 11:25:43"
"957","2018-03-13","Inbetalning bokförd 180312",,,"SEK","625","-25888","","","2018-03-24 11:25:43"
"956","2018-03-12","Slutlig skatt",,,"SEK","-23799","-26513","","A216","2018-03-24 11:25:43"
"955","2018-03-12","Förs.avgift moms/arbetsgivardeklaration 171212",,,"SEK","-625","-2714","","A126","2018-03-24 11:25:43"
"954","2018-03-12","Debiterad preliminärskatt",,,"SEK","-2181","-2089","","A176","2018-03-24 11:25:43"
"953","2018-03-03","Kostnadsränta",,,"SEK","-38","92","","A127","2018-03-24 11:25:43"
"952","2018-02-28","Inbetalning bokförd 180227",,,"SEK","6429","130","","A137","2018-03-24 11:25:42"
"951","2018-02-28","Inbetalning bokförd 180227",,,"SEK","2300","-6299","","A136","2018-03-24 11:25:42"
"950","2018-02-28","Moms jan 2017 - dec 2017",,,"SEK","-6429","-8599","","A113,A574","2018-03-24 11:25:42"
"949","2018-02-14","Inbetalning bokförd 180213",,,"SEK","45378","-2170","","","2018-03-24 11:25:42"
"948","2018-02-14","Avdragen skatt jan 2018",,,"SEK","-19740","-47548","","A104","2018-03-24 11:25:42"
"947","2018-02-14","Arbetsgivaravgift jan 2018",,,"SEK","-25638","-27808","","A98","2018-03-24 11:25:42"
"926","2018-02-12","Debiterad preliminärskatt",,,"SEK","-2181","-2170","","A82","2018-02-12 08:04:48"
"925","2018-01-19","Avdragen skatt dec 2017",,,"SEK","-19818","11","","A36","2018-02-12 08:04:48"
"924","2018-01-19","Avdragen skatt nov 2017",,,"SEK","-17200","19829","","A35","2018-02-12 08:04:48"
"923","2018-01-19","Arbetsgivaravgift dec 2017",,,"SEK","-25614","37029","","A34","2018-02-12 08:04:48"
"922","2018-01-19","Arbetsgivaravgift nov 2017",,,"SEK","-27542","62643","","A33","2018-02-12 08:04:48"
"921","2018-01-18","Inbetalning bokförd 180117",,,"SEK","45432","90185","","A37","2018-02-12 08:04:48"
"846","2017-12-13","Inbetalning bokförd 171212",,,"SEK","44742","44753","","","2017-12-21 13:00:20"
"794","2017-11-14","Inbetalning bokförd 171113",,,"SEK","99612","11","","","2017-11-23 20:39:14"
"793","2017-11-13","Arbetsgivaravgift okt 2017",,,"SEK","-62598","-62587","Rep 44","A829","2017-11-23 20:39:14"
"792","2017-11-13","Avdragen skatt okt 2017",,,"SEK","-37014","-99601","Rep 44","A828","2017-11-23 20:39:14"
"683","2017-10-03","Inbetalning bokförd 171002",,,"SEK","20","11","","","2017-10-04 19:42:46"
